리뷰번호,영화제목,리뷰내용,리뷰별점,영화총점,리뷰작성일자
18546498,리멤버,이성민 배우의 연기 최고,10,8.19,2022-11-18
18546497,동감,시간가는줄 모르고 봤어요ㅠㅠ 말이 안되는 이야기지만 믿고싶은 영화,10,6.64,2022-11-18
18546496,킹덤2: 아득한 대지로,재밌게 잘봤습니다 :)3탄도 나올꺼같네요 ,10,8.36,2022-11-18
18546495,동감,비현실적이고 그냥 노잼 너무 지루했음,1,6.64,2022-11-18
18546494,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,34살 아저씨입니다 이 영화 한편에 우리의 인생이 담겨져있네요.. 만화를 진짜 오랜만에 보는데 아 너무재미있었어요 보신분은 알겠지? 청춘!!,10,9.30,2022-11-18
18546493,데시벨,무엇을 감상한건가... 졸면서 봤다...,5,8.30,2022-11-18
18546492,내 친한 친구의 아침식사,정말 너무 아쉬운 영화다;;,1,6.97,2022-11-18
18546491,킹덤2: 아득한 대지로,정말 너무 아쉬운 영화다;;,1,8.36,2022-11-18
18546490,동감,정말 너무 아쉬운 영화다;;,1,6.64,2022-11-18
18546489,폴: 600미터,보는내내 심장 쫄깃하다,10,8.46,2022-11-18
18546488,데시벨,정말 너무 아쉬운 영화다;;,1,8.30,2022-11-18
18546487,폴: 600미터,정말 너무 아쉬운 영화다;;,1,8.46,2022-11-18
18546485,릴리 슈슈의 모든 것,"인간의 공허와 불안, 고독. 이와이 슌지의 모든 것이 궁금해진다",6,8.11,2022-11-18
18546484,성실한 나라의 앨리스,전 넷플릭스로 봤는데 너무 재밌게 봐서 또 볼려 했는데 내려갔더라구요..그래서 친구 아이디로 5번 돌려봤어요…,10,8.46,2022-11-18
18546482,데시벨,재밌네요 . 감동도 있고 추천합니다,10,8.30,2022-11-18
18546481,엑소시스트: 디렉터스 컷,쫄보에겐 이것도 무서웠음.. 모든 엑소시즘의 원조 영화라고 볼 수 있을 듯,7,8.47,2022-11-18
18546480,블랙 팬서: 와칸다 포에버,채드윅 보스만을 추모하는 초반만 좋고 그 이후로는 엔딩까지 내리막길을 걷는 영화.,2,6.46,2022-11-18
18546479,동감,"저는 영화 재밌게 봤어요!!ㅎㅎ 방가방가 하이루 , 캔모아 다 추억 ㅋㅋㅋㅋ",10,6.64,2022-11-18
18546478,인생은 아름다워,안 울줄알았는데 겁나 울었다..,10,9.22,2022-11-18
18546477,인생은 아름다워,안 울줄알았는데 겁나 울었다..,10,9.22,2022-11-18
